song,artist,comment
just cant get enough,the black eyed peas,"just cant get enough is a song by american group the black eyed peas the song was written by members william apldeap taboo and fergie along with joshua alvarez stephen shadowen rodney darkchild jerkins and julie frost for the groups sixth studio album the beginning 2010 it was announced on january 21 2011 as the albums second single
the song has been a success on the charts reaching the topfive in many countries such as new zealand their twelfth top 5 australia greece france united kingdom and the united states among others the video for this song was filmed in japan a week before the 2011 tōhoku earthquake and tsunami happened as of june 2011 the single has sold more than 2400000 digital units in the us"
sm,rihanna,s named ess  plural esses is the 19th letter in the modern english alphabet and the iso basic latin alphabet
pumped up kicks,foster the people,"pumped up kicks is a song by american indie pop band foster the people it was released as the groups debut single in september 2010 and the following year was included on their ep foster the people and their debut album torches pumped up kicks became the groups breakthrough hit and was one of the most popular songs of 2011 the song was written and recorded by frontman mark foster while he was working as a commercial jingle writer contrasting with the upbeat musical composition the lyrics describe the homicidal thoughts of a troubled youth
the track received considerable attention after it was posted online in 2010 as a free download and it helped the group garner a multialbum record deal with columbia records imprint startime international pumped up kicks proved to be a sleeper hit in 2011 after receiving significant airplay on modern rock stations the song crossedover onto contemporary hit radio stations the song spent eight consecutive weeks at number three on the billboard hot 100 chart in the united states making it the first billboard alternative songs numberone single to crack the us top 5 since kings of leons use somebody in 2009 the song was widely praised by critics and it has been licensed for use in a wide range of popular media since its release pumped up kicks received a grammy award nomination for best pop duogroup performance"
last friday night tgif,katy perry,"last friday night tgif is a song by american singer katy perry from her third studio album teenage dream the song was written and produced by dr luke and max martin who also cowrote the song with perry and bonnie mckee perry stated that she was inspired to write the track after a night of wild partying and streaking it was released as the albums fifth single on june 6 2011 by capitol records with a remix featuring american rapper missy elliott released to us radio stations and digital retailers on august 8 2011 this version was included in teenage dream the complete confection edition it is a dancepop song with lyrics about drunken fun and debauchery some of the risque lyrics in the song are often censored in radio versions of the song the tgif in the title is an acronym for thank god its friday
the song had chart success worldwide reaching number one in slovakia and the czech republic and has attained topten positions in austria ireland italy and poland by topping the us billboard hot 100 perry became the first female solo artist to have five numberone singles on the hot 100 from a single album it also was perrys sixth numberone single on the billboard hot 100 chart and her fifth consecutive number one single the single had sold 37 million digital copies in the us and was the tenth most played single on us radio during 2011
the songs accompanying music video was directed by marc klasfeld the clip features perry as her teenage alterego kathy beth terry at a house party filled with music and dancing while at the party terry is made over by her friend and draws attention to herself as the life of the party the video features appearances by notable music artists and actors which includes rebecca black corey feldman debbie gibson kenny g hanson and kevin mchale and darren criss of glee according to the director the inspiration behind the video was sixteen candles works by american filmmaker john hughes and other 1980s high school films the music video won favorite music video award at the 38th peoples choice awards"
just the way you are,bruno mars,"just the way you are is the debut solo single by american singersongwriter bruno mars it is the lead single from his debut studio album doowops  hooligans 2010 the song was written by bruno mars philip lawrence ari levine khalil walton and needlz and produced by the former three under their alias the smeezingtons along with needlz it was released in the united states to contemporary hit radio on august 10 2010 the track was released in the united kingdom on september 19 2010 as just the way you are amazing the songs lyrics compliment a womans beauty
the debut single received positive reviews from critics who considered it a standout track on doowops  hooligans and praised the smeezingtons production it won a grammy award for best male pop vocal performance at the 2011 ceremony the song peaked at number one on the us billboard hot 100 australia canada new zealand and in the united kingdom charts and peaked in the top five in other countries it was certified nine times platinum by the recording industry association of america riaa seven times by the australian recording industry association aria and six times by music canada mc just the way you are was the best selling digital single of 2011 selling more than 125 million copies thus joining an elite group of bestselling singles worldwide
the music video directed by ethan lader was released on september 8 2010 and features peruvian born australian actress nathalie kelley the official remix features rapper lupe fiasco and is included on the deluxe edition of doowops  hooligans mars performed just the way you are on the doowops  hooligans tour 2010–2012 on the moonshine jungle tour 2013–2014 and on the 24k magic world tour 20172018 he also included it during his performance at the super bowl xlviii halftime show just the way you are has been covered by various recording artists and it inspired meghan trainors debut single all about that bass"
tonight im lovin you,enrique iglesias featuring ludacris and dj frank e,"tonight im fuckin you censored as tonight im fkin you and also known as tonight im lovin you or simply tonight in altered versions is a song by spanish singer enrique iglesias it features american rapper ludacris and producer dj frank e the song was released to us radio on 1 november 2010 as the album’s second us single and digitally on 22 november 2010 the altered version of the song was included on the french limited edition of euphoria the official remix features american rapper pitbull
tonight im lovin you was a worldwide hit for iglesias peaking at number 4 on the us billboard hot 100 making it his highest charting single on the chart since 2010s i like it the song also reached the top ten in australia new zealand and the united kingdom among other major music markets the single has sold over five million copies worldwide to date"
raise your glass,pink,"raise your glass is a song by american singer pink from her first greatest hits compilation greatest hits so far 2010 the song was written by pink max martin and karl shellback schuster and produced by the latter two who are responsible for many of pinks hits the song celebrates the first decade since pinks debut in 2000 and is dedicated to her fans who have been supporting her over the years
the song was released as the albums lead single on october 5 2010 by jive records gaining both critical and commercial success being acclaimed by most music critics and described as a party anthem and reaching the topten in several countries including the united states where it became her third numberone single in 2011 raise your glass was ranked at number thirteen on the top 40 year end chart based on mediabase
the song was featured in a commercial for the 2011 film bridesmaids and in the theatrical trailers for the films whats your number and new years eve"
born this way,lady gaga,"born this way is the second studio album by american singer lady gaga released by interscope records on may 23 2011 it is a followup to her internationally successful album the fame 2008 and ep the fame monster 2009 as coproducer of every track on the album gaga collaborated with several producers including redone and fernando garibay with whom she had previously worked she also worked with artists such as e street band saxophonist clarence clemons and queen guitarist brian may
the music of born this way stems from the synthpop and dancepop styles of her previous material while incorporating different forms of instrumentation from that on her previous releases such as electronic rock and techno it features a broader range of genres such as opera heavy metal disco house and rock and roll while its lyrical topics include sexuality religion freedom feminism and individualism despite divided opinions among religious and conservative commentators the album was well received by music critics who praised the varying musical styles and gagas vocals others felt gaga was trying too hard to please everyone through the albums selfempowerment message several publications included the album in their yearend bestof lists born this way received three grammy award nominations including gagas third consecutive nomination for album of the year
born this way debuted in the top five spots of every major chart including the billboard 200 in the united states the record sold more than one million copies in its first week—the highest firstweek album sales in five years an estimated 440000 copies were sold on amazon in two days of its first week at a price of 99 cents it sold six million copies worldwide four of the albums singles—born this way judas the edge of glory and you and i—charted in the top ten of the billboard hot 100 and born this way became the 1000th song to reach the number one spot since the inauguration of the chart in 1958 the title track was also once the fastestselling single in itunes history while the promotional track hair charted in sixteen countries
gaga has performed songs from the album on different occasions including the 53rd grammy awards and the 2011 mtv video music awards as well as in other events and on television in november 2011 born this way and the remix album born this way the remix were packaged with the compilation album born this way the collection"
fuckin perfect,pink,"fuckin perfect stylized perfect on the clean version and as fkin perfect on the main cover is a song by american singer pink from her first greatest hits album greatest hits so far 2010 it was released in december 14 2010 by jive records as the albums second single written by pink with max martin and shellback the track is a pop number which encourages people to accept each other for their true identities
pink has stated that the main inspiration behind the track is her husband carey hart its music video directed by longtime collaborator dave meyers delivers a message against depression selfharm and suicide in november 2011 the song garnered a grammy award nomination for best pop solo performance fuckin perfect peaked at number two on the billboard hot 100 becoming pinks eleventh topten hit single in the united states
in 2011 fuckin perfect was ranked at number fourteen on the top 40 yearend chart behind her previous single raise your glass based on mediabase"
whats my name,rihanna featuring drake,"whats my name is a song recorded by barbadian singer rihanna for her fifth studio album loud 2010 featuring guest vocals from canadian rapper drake the song was released as the second single from loud on october 26 2010 through def jam recordings the electrorb song was produced by the norwegian production duo stargate and was written by the duo along with ester dean traci hale and drake lyrically it incorporates themes of sexual intercourse and romance
whats my name topped the us billboard hot 100 chart giving rihanna her third numberone single in 2010 as well as her eighth overall on the chart the song also topped the charts in hungary and the united kingdom and reached the top five in canada ireland new zealand norway and slovakia the song received a nomination at the 54th grammy awards for best rapsung collaboration
an accompanying music video directed by philip andelman portrays a romantic encounter between rihanna and drake in a grocery store along with romantic scenes between the pair and rihanna walking through manhattans lower east side whats my name was promoted with live performances including saturday night live in america and the series seven finale of the x factor in the united kingdom"
look at me now,chris brown featuring lil wayne and busta rhymes,"look at me now is a song by american recording artist chris brown featuring american rappers lil wayne and busta rhymes released as the second single from browns fourth studio album fame on february 1 2011 the artists cowrote the song with its producers afrojack diplo and free school with additional writing from ryan buendia musically look at me now is a dirty southinspired hip hop song that features thumping bass spacy synth and horn jam sounds
critical reception towards the song was positive where critics noted it as a standout track on the album and praised busta rhymes and lil waynes rap verses look at me now proved to be successful in the united states where it reached number six on the billboard hot 100 chart making it browns highest chart position since forever 2008 it also reached number one on the hot rap songs and hot rbhiphop songs charts internationally the song charted in australia canada france new zealand and the united kingdom
an accompanying music video was directed by colin tilley and filmed in los angeles california it features numerous scenes of brown busta rhymes and lil wayne in a smokefilled graffiticovered parking garage where a step uptype danceoff is held the video received a positive response from critics for displaying various colors and intricate routines performed by brown and several dancers the song won three awards at the 2011 bet awards for best collaboration viewers choice and video of the year several artists have covered the song and released their own remixes including karmin justin bieber trey songz and da brat"
down on me,jeremih featuring 50 cent,down on me is a song by american singer jeremih produced by mick schultz and keith james and mixed by mix engineer ken lewis the song features rapper 50 cent and is the second single off his second album all about you the song was released to us radio stations on october 12 2010 by def jam
how to love,lil wayne,how to love is a song by american rapper and occasional singer lil wayne released as the third single from his ninth studio album tha carter iv the song features production from drum up lamar seymour lanelle seymour for drum up digital with noel detail fisher and was released as a digital download on june 13 2011 it was later released to urban contemporary radio stations on june 24 2011 the song also makes it his first entry on hot adult contemporary stations as cjfmfm montreal began playing it a month later after the singles release it peaked at number 5 on the billboard hot 100 making it his third highest peak on the chart as the primary artist lil wayne performed the song at the 2011 mtv video music awards
someone like you,adele,"someone like you is a song by british singer adele it was written by adele and dan wilson for her second studio album 21 it is the second single and final track on the album the song was inspired by a broken relationship and lyrically speaks of adeles coming to terms with it xl recordings released the song as the second single from the album on 24 january 2011 in the united kingdom and on 9 august 2011 in the united states accompanied only by a piano in the song played by cowriter wilson adele sings about the end of the relationship with her exboyfriend the song received wide acclaim from music critics who chose the song as a highlight of 21 and praised the lyrics its simple sound and adeles vocal performance
following a wellreceived performance of the song at the 2011 brit awards someone like you became adeles first numberone single in the uk and it stayed on the top of the chart for five weeks the song also topped the charts in ireland new zealand australia brazil italy france and switzerland and has become adeles second number one in the us with that achievement adele became the first female british solo singer in the history of the billboard hot 100 to have two number ones from the same album in july 2011 it became the first single of the decade to sell a million units in the uk and it was certified 3× platinum by the british phonographic industry bpi as well as being certified 6× platinum by the recording industry association of america riaa in the us as of 2018 someone like you has sold over 17 million copies worldwide making it one of the bestselling digital single of alltime
an accompanying music video for the song was directed by jake nava and filmed in paris france the video showed adele walking alone through the streets with a sad look on her face critics praised the video for being simple and perfect for the sound of the song adele performed the song on several award and television shows including the 2011 brit awards 2011 mtv video music awards jimmy kimmel live the ellen degeneres show and the song was played on the abc hit show greys anatomy she added the song to the set list of her second tour adele live the live performances of the song were heavily praised by music critics and fans the song has been covered by katy perry taio cruz the cast of the series glee and several other artists
in a list voted for by the public in conjunction with the official charts companys 60th anniversary someone like you was voted the thirdmost favourite numberone single of the last 60 years in the uk with michael jacksons billie jean voted number two and queens bohemian rhapsody as number one someone like you is the 36thbestselling single in the history of the uk singles chart as a critically successful song someone like you appeared on many yearend lists about the best songs of 2011 someone like you was the first recipient of the grammy award for best pop solo performance at the 54th grammy awards held on 12 february 2012 as of 2018 it is the third most downloaded single of alltime in the uk and the fourth bestselling single of the 21st century"
good life,onerepublic,"good life is a song by american pop rock band onerepublic taken from their second studio album waking up 2009 the song was written by group members ryan tedder brent kutzle and eddie fisher along with group associate noel zancanella it was produced by tedder with coproduction by kutzle and zancanella
the song was released on november 19 2010 as the albums third single in the united states and as its overall fourth single its popularity was increased by its use in various films television series and advertisements the single was a commercial success peaking at number 8 on the us billboard hot 100 and eventually being certified multiplatinum as well as reaching the top twenty of other music charts across europe australia and new zealand the song has sold over 3 million copies in the us as of january 2014
critical reception of good life was generally positive this song is unique in that the band recorded various radio versions of this song for different cities and states the line changed in the lyrics is my friends in citystate they dont know where ive been
a remix of the song featuring american rapper bob was released to radio stations in june 2011
up to october 2016 good life was the only onerepublic song to be rated explicit on itunes for its use of the word bullshit within the song until their album oh my my was released containing future looks good and dream which are both rated explicit"
the lazy song,bruno mars,"the lazy song is a song recorded by american singersongwriter bruno mars for his debut studio album doowops  hooligans 2010 it was serviced to contemporary hit radios in the united states on february 15 2011 as the albums third single by atlantic and elektra development of the lazy song began while bruno mars philip lawrence and ari levine were hanging around the studio and didn’t feel like working mars wrote the song in collaboration with singersongwriter knaan and his production team the smeezingtons who also produced the track musically the lazy song has been described as borrowing heavily from roots reggae while lyrically it is an anthem to laziness
the lazy song reached number four on the us billboard hot 100 while it topped the charts in denmark and in the united kingdom it charted on most international markets within the top five cameron duddy and mars directed the accompanying music video in which mars hangs out with five dancers with monkey masks while jest around in his underwear it has been certified three times by the recording industry association of america riaa five times by the australian recording industry associationaria and four times platinum by the and by music canada mc respectively worldwide it was one of the best selling digital singles of 2011 with sales of 65 million copies mars sung the lazy song on television shows such as american idol and the french version of xfactor the single was performed on the doowops  hooligans tour 2010–12 and occasionally on the moonshine jungle tour 2013–14"
till the world ends,britney spears,"till the world ends is a song recorded by american singer britney spears for her seventh studio album femme fatale 2011 it was written by kesha sebert lukasz dr luke gottwald alexander kronlund and max martin gottwald martin and billboard produced the song while vocal production was handled by emily wright till the world ends is an uptempo dancepop and electropop song with an electro beat it opens with sirens and has elements of trance and eurodance the song features a chantlike chorus and lyrics in which spears sings about dancing until the end of the world till the world ends received universal acclaim from critics who deemed it a catchy dance track and complimented its anthemic nature
till the world ends was treated with different remixes most notably the femme fatale remix featuring rapper nicki minaj and kesha which was released on april 25 2011 the remix adds a rap by minaj at the beginning new vocals by kesha and a dubstep breakdown the femme fatale remix received positive reviews from critics with most complimenting the diversity of the group and minajs rap till the world ends attained international success charted on the topten in several major music markets including australia france ireland new zealand sweden and switzerland the femme fatale remix propelled the single to the top five on the canadian hot 100 and the us billboard hot 100
an accompanying music video for the till the world ends was released on april 6 2011 it portrays spears in an underground dance party set on a december 21 2012 critics noted the similarities with the music video for im a slave 4 u 2001 and predominantly gave positive reviews for it a choreography cut was released on april 15 2011 the video was also nominated for two categories at the 2011 mtv video music awards and went on to win best pop video spears has performed till the world ends on television shows good morning america and jimmy kimmel live and performed it with minaj at the 2011 billboard music awards she has also performed the song as the encore of the femme fatale tour 2011 and britney piece of me 201317"
the show goes on,lupe fiasco,the show goes on is a song by recording artist lupe fiasco released on october 26 2010 as the lead single from his third studio album lasers prominently built on the bassline of pachelbels canon the song was produced by kane beatz and the melody of the song was based on the 2004 song float on by modest mouse unlike canon which is traditionally in the key of d the song transposes it to the g key the song features backing vocals from jr get money it was released to itunes on november 9 2010 and debuted at no 57 on the billboard hot 100 eventually reaching a peak of no 9 it was released in the uk on february 20 2011 the song was a major point of contention for the artist and a reason for the lengthy delay of the album making the title fitting as lupe was told unequivocally by record producers if you dont do the show goes on your albums not coming out however xxl named it 14th best song of 2011 the song was nominated for best rap performance and best rap song at the 54th grammy awards
the edge of glory,lady gaga,"the edge of glory is a song by american singer lady gaga from her second studio album born this way 2011 the song was released on may 9 2011 as the albums third single initially released as one of two promotional singles for born this way it shortly became a single following its success in digital outlets worldwide the song was written and produced by gaga and fernando garibay and is a pop electrorock and disco song that speaks of the very last moments of life according to gaga lyrical inspiration came from the death of her grandfather who died in september 2010 alongside a saxophone solo played by the late clarence clemons the melody of the song resembles much of the musical works of bruce springsteen and contains several qualities similar to that of 1980s adult contemporary musical works
the edge of glory received critical acclaim with many reviewers deeming it as an album highlight much of the praise went to the songs chorus and the musical production reviewers also complimented gagas vocals describing it as soulful the song was a commercial success worldwide charting in the top ten in several major music markets including australia belgium canada new zealand norway spain and the united kingdom in the united states it peaked at number three on the billboard hot 100 becoming gagas tenth consecutive topten single in the united states
a music video for the song was filmed in late may codirected by the singer and her production team haus of gaga the video is simple in contrast to much of gagas previous work and portrays her dancing on a fireescape and walking on a lonely street differences include the lack of intricate choreography and backup dancers as well as using only one outfit designed by versace critics lauded the simplicity of the video while comparing it to the works of michael jackson janet jackson and madonna gaga has performed the song in award shows music festivals and her concert tours"
we r who we r,keha,"we r who we r is a song by american singer kesha from her first extended play ep cannibal 2010 the song was released as the eps lead single on october 22 2010 it was written by kesha with jacob kasher hindlin dr luke benny blanco and ammo production of the song was completed by dr luke blanco and ammo in the wake of news that bullying had led to multiple suicides of gay youth kesha wrote the song in hopes that it would become a pride anthem the song is intended to inspire people to be themselves and as a celebration of anyone deemed quirky or eccentric
musically the song is a dancepop song that incorporates elements of electropop and techno it uses a synthinfused beat as a backing with sounds interpreted as hand claps keshas vocals have been described as a talksinging style that use layered autotune in some parts and vocodersthe song has been compared to her debut single tik tok 2009 as it has a similar musical structure
we r who we r debuted at number one on the billboard hot 100 making it the 17th song in the charts history to do so the song also reached number one in the united kingdom keshas first number one solo single there and topped the charts in australia for three weeks it also attained topfive positions on the canadian japanese and new zealand charts the song became keshas fifth consecutive solo top ten hit in the united states canada and australia as of march 2016 the song has sold over 41 million digital copies in the united states
the songs accompanying music video was directed by hype williams and was filmed in downtown los angeles the video is presented as an underground party and has been described as showcasing a darker and sexier side of kesha compared to previous videos the song has been performed in north america at the 2010 american music awards and on her worldwide get sleazy tour"
black and yellow,wiz khalifa,"black and yellow is a song by american rapper wiz khalifa from his third studio album rolling papers it was released on september 14 2010 as the lead single from the album the song was written by khalifa along with stargate who produced it it was released as a cd single in honor of record store day the song peaked at number one on the billboard hot 100 becoming wiz khalifas first numberone single in the us he would top the chart again in 2015 with see you again
the song is about khalifas car a yellow dodge challenger hemi with black stripes he has stated that he got the car in those colors as a tribute to his hometown of pittsburgh pennsylvania whose official colors are black and gold and its professional sports teams most of whose colors are black and some variation of gold or yellow the song itself does not mention pittsburgh or sports although the songs music video made the connection to pittsburgh explicit showing various iconic locations in the city as well as apparel associated with the football team the pittsburgh steelers the hockey team the pittsburgh penguins and the baseball team the pittsburgh pirates in the year after it was released black and yellow spawned dozens of remixes parodies and remakes both in the us and internationally many of them made in tribute to a local sports team at super bowl xlv in 2011 which featured the steelers competing against the green bay packers the steelers used black and yellow as their fight song while the packers used a remix by lil wayne called green and yellow marking the first time both teams at the super bowl had used the same song"
tonight tonight,hot chelle rae,tonight tonight is a song by american rock band hot chelle rae it was released as the lead single from their second album whatever on march 15 2011 tonight tonight was released to mainstream radio on february 22 2011 it has been certified double platinum by the recording industry association of america and has sold over 3 million copies as of april 2013
blow,keha,"blow is a song by american singer and songwriter kesha from her first extended play ep cannibal 2010 the song was released on february 8 2011 it was written by kesha along with klas åhlund lukasz gottwald allan grigg benjamin levin and max martin with production done by dr luke max martin benny blanco and kool kojak according to kesha the songs lyrics are representative of herself and her fans blow is dominantly an electro and dancepop song and is described as a party anthem as it portrays a simple message of having a desire to have a good time at a club
critical reception of blow has been generally positive with most critics praising the songs hook opening and party anthem vibe though some found the chorus uninspiring and ordinary keshas vocal work throughout the song was met with mixed reaction some critics felt that she was both sassy and brash while other critics felt that her personality was missing from the song commercially blow reached the top ten in the billboard hot 100 in the united states and australia becoming her sixth consecutive topten hit in both countries as a solo artist the song also reached the top ten in new zealand and the top 20 in canadian hot 100 in canada
the songs accompanying music video was directed by chris marrs piliero and was released february 25 2011 the video costars actor james van der beek who plays keshas nemesis piliero and kesha came up with the videos concept and is intended to be simplistic a video that is cool and random reception of the video by critics were positive with the midvideo dialogue scenes humor being highlighted"
lighters,bad meets evil featuring bruno mars,"lighters is a song by american hip hop duo bad meets evil a group composed of royce da 59 and eminem from their first ep hell the sequel the track features american singersongwriter bruno mars it was written by bad meets evil along with mars philip lawrence and ari levine of the smeezingtons and roy battle the production was handled by all aforementioned names except royce it was released on june 14 2011 by shady and interscope records being later serviced to mainstream radio airplay in the united states by the two latter labels along with aftermath entertainment as the second single from the ep after writing and recording their own verses for the song eminem and royce da 59 met mars in los angeles and the singers vocals were added after minor adjustments were done by him and eminem to the original cut
lighters is an alternative hip hop song with elements of soul and synthpop music music critics noted it for being musically different among other tracks on hell the sequel with some praising and other criticizing the change in style the songs main structure relies on strings and piano which throughout the song are combined with bass and synths lighters received mixed reviews some critics praised mars performance on the chorus while the duo was met with criticism for their lyrics which regard ones downfalls comebacks while dismissing the haters and conveys a message of genuine supporting and celebration by the accomplishment of dreams the song reached the top ten of several countries including number two in new zealand number four in canada and the united states and number ten in switzerland and the united kingdom the record has been certified two times platinum by the recording industry association of america riaa and platinum by the australian recording industry association aria
the accompanying music video was filmed in los angeles california in july 2011 and it was directed by rich lee it features both royce and eminem the former in a prison cell finding a way to escape by discovering a way through a door compartment and a trap door on the floor of a living room respectively throughout the entire visual mars is singing while playing an upright piano lighters was performed at the several music festivals including the 2011 bonnaroo music  arts festival and the lollapalooza the performances were met with positive reviews from music critics lighters was nominated for international video of the year – group at the 2012 muchmusic video awards and won most performed song at the 2012 ascap pop music awards"
if i die young,the band perry,if i die young is a song written by kimberly perry and recorded by american country music group the band perry it was released on june 8 2010 as the second single from the groups selftitled debut album which was released on october 12 2010
stereo hearts,gym class heroes featuring adam levine,stereo hearts is a song by american group gym class heroes featuring adam levine lead singer of band maroon 5 the song was released on june 15 2011 as the lead single from the groups fifth studio album the papercut chronicles ii 2011
the time dirty bit,the black eyed peas,"the time dirty bit is a song by american musical group the black eyed peas from their sixth studio album the beginning the song was released as the albums lead single on november 5 2010 the chorus of the song interpolates ive had the time of my life from the 1987 film dirty dancing
the song peaked at number four on the billboard hot 100 in the us becoming the groups sixth consecutive top ten hit following the five singles from their previous album the end and ninth overall it topped the charts in australia austria belgium canada france germany hungary italy spain new zealand and the united kingdom while also charting inside the top ten of the charts in most european countries as of december 2017 the songs accompanying music video has received over 390 million views on youtube becoming the groups most viewed video worldwide it was the eighth best selling digital single of 2011 with sales of 73 million copies"
coming home,diddy  dirty money featuring skylar grey,"coming home is a song by american rapper and producer diddy and his group dirty money from their debut album last train to paris 2010 it was released on november 21 2010 as the albums fourth single the contemporary hiphop pop song was written by jermaine cole diddy jayz alex da kid and skylar grey kid and jayz produced the song while grey featured vocals on the songs chorus jayz and kid gifted the song to diddy for last train to paris autobiographically written coming home is inspired by moments in diddys life the loss of his close friend the notorious big and references to classic songs by dionne warwick mcfadden  whitehead and smokey robinson  the miracles
critics praised the redemptive ballad for the personal themes and lyrics which were a snapshot of diddys life praise was also given for greys soft vocals which complemented the warmth of the song an accompanying music video directed by rich lee follows the trio wandering through the desert in search of home only to find burned belongings and the shell of a home singled out as one of the albums highlights coming home was promoted with live tv performances including at the american music awards on november 21 2010 the wwe tribute to the troops concert and the march 10 2011 episode of american idol which marked the first live performance of the song featuring skylar grey the song is also one of the theme songs for wwe wrestlemania 29
to date coming home is diddydirty moneys most successful single and the highest charting single from last train to paris aside from amassing one million digital sales it peaked at number eleven on the us billboard hot 100 and number nine in canada internationally the single topped both belgium ultratip charts and the swiss singles chart as well as reaching top five in the uk this comes in addition to breaking onto the aplaylists on british urban music radio and mainstream radio and topping the uk rb singles chart for three consecutive weeks"
hey baby drop it to the floor,pitbull featuring tpain,hey baby drop it to the floor is a song by american rapper pitbull featuring tpain it was released on september 14 2010 as the lead single from pitbulls sixth studio album planet pit the song was written by pitbull tpain and sandy vee and it was produced by sandy vee the song samples a line from push it by saltnpepa
only girl in the world,rihanna,"only girl in the world is a song by barbadian singer rihanna from her fifth album loud 2010 the albums lead single it was released on september 10 crystal johnson wrote the song in collaboration with producers stargate and sandy vee rihanna contacted stargate before louds production and asked them to create lively uptempo music only girl in the world was the first song composed for the album and the singer decided to include it on the track list before she recorded her vocals backed by strong bass and synthesizer it is a eurodance song that incorporates elements of hinrg rave and rb in its composition in its lyrics rihanna demands physical attention from her lover
critical response to only girl in the world was positive a number of critics praised its composition and rihannas decision to move away from the dark themes of her previous album rated r 2009 the song reached number one on the united states billboard hot 100 chart two weeks after louds second single whats my name peaked at number one it was the first time in the charts history that an albums lead single reached number one after its second single in the united kingdom the song spent two weeks at number one and is the nineteenthbestselling single of all time by a female artist with over a million copies sold the song peaked at number one in australia new zealand canada and ireland and reached the top five in france germany and switzerland
rihanna performed only girl in the world on saturday night live in the united states the x factor in the united kingdom and a shortened version at the 31st brit awards anthony mandler directed the songs music video in which rihanna is alone in an open natural landscape the video suggests that she is the only female in the world echoing the songs title and lyrics and critics praised its bright colorful theme only girl in the world won the grammy award for best dance recording at the 53rd grammy awards in 2011"
6 foot 7 foot,lil wayne featuring cory gunz,6 foot 7 foot also styled as 67 is a song by american rapper lil wayne featuring label mate cory gunz it is taken from waynes ninth album tha carter iv 2011 it was officially released on itunes on december 16 2010 it was produced by a milli producer bangladesh the song samples dayo the banana boat song by harry belafonte particularly as the title implies the lyric 6 foot 7 foot 8 foot bunch
just a kiss,lady antebellum,"just a kiss is a song recorded by american country music group lady antebellum it was released on may 2 2011 as the lead single from the bands album own the night 2011 dallas davidson collaborated with band members hillary scott charles kelley and dave haywood to write the song taking inspiration from the members personal experiences produced by paul worley just a kiss was among the last songs recorded for the album and is a midtempo country ballad with lyrics that speak of a romantic relationship between two new couples professional reviews for just a kiss have been mostly positive commending on the songs theme and musical arrangement and also praising lady antebellums performance
in the united states the song debuted at number 28 on the billboard hot country songs chart and appeared at number seven on the billboard hot 100 it later topped the country chart and was certified 2× platinum by the recording industry association of america riaa the song peaked at number 13 in canada 22 in japan and reached the top 80 in australia and slovakia shaun silva directed a wellreceived music video for the song it portrays the story of two young lovers against a backdrop of scenery of europe the band first performed the song on their houston rodeo show on march 11 2011 and later at the divas nashvegas benefit show following the singles release they performed it on us reality television show american idol and at the billboard music awards the groups live performances have been praised by critics the song was featured in the season 2 finale of pretty little liars and in the season 1 episode 17 of hart of dixie"
dirt road anthem,jason aldean,dirt road anthem is a country rap song written by american artists colt ford and brantley gilbert who also wrote aldeans hit my kinda party each of whom recorded his own version of the song jason aldean covered the song for his 2010 album my kinda party and released it as the third single from the album in april 2011 the song debuted as a single as aldeans previous single dont you wanna stay was currently at the 1 spot on the billboard hot country songs chart on november 30 the song received a nomination in 54th grammy awards for best country solo performance it is the bestselling song in digital history by a male country solo artist in the united states with over 4 million sold
dynamite,taio cruz,"dynamite is a song by british recording artist taio cruz for the international version of his second studio album rokstarr 2010 cruz cowrote the song along with max martin bonnie mckee benny blanco and dr luke the latter two are also the producers the song features additional instrumentation by cruz himself it was released internationally as the fourth single from rokstarr in the uk the song was released as the first single from cruzs compilation album the rokstarr collection 2010 on 30 may 2010 it was released to us and canadian radio stations as his second single and across europe as his fourth single an official remix was released featuring new label mate jennifer lopez
dynamite became cruzs second numberone single on the uk singles chart and the canadian hot 100 as well topping charts in belgium ireland australia and new zealand the song reached number two on the us billboard hot 100 and by january 2012 it had sold over 57 million copies in the us and canada becoming the second bestselling song by a british artist in the digital era there behind adeles rolling in the deep"
no hands,waka flocka flame featuring wale and roscoe dash,no hands is a song recorded by the american rapper waka flocka flame for his debut album flockaveli 2010 the song features guest appearances from rappers roscoe dash and wale it was produced by drumma boy with coproduction and writing credits from n cobey it was leaked in may 2010 before it was officially released in august the single entered the billboard hot 100 charts at 45 and peaked at 13
