Rank,Song,Artist,Year,Lyrics
62,come go with me,expose,1987, feels the same every day come home from work late again work so hard and never play i cant wait to take you far awaydont you know dont you know gotta go gotta go pressure builds from everyone every dayget away get away come my way come my way when the day begins to end then youre minecome go with me make you feel alive this night will last everlasting through the time come go with me have no fearsbring back the memories i can take away the misery take my hand well fly away to our world that we can find todaycan you feel can you feel im for real im for real can i hold you by the fire in the nightis it right is it right hold me tight hold me tight when you look into my eyes in the lightcome go with me make you feel alive this night will last everlasting through the time come go with me come go with me have no fears two hearts in one eternal through the nightdont worry bout tomorrow just come go with me dont let it end in sorrow love is our destinycome go with me come go with me ill take you by the hand and well find another land come go with me come go with me oh leave the world behind the world from nine to fivecome go with me come go with mecome go with me make you feel alive this night will last everlasting through the time come go with me have no fears two hearts in one eternal through the nightcome go with me make you feel alive this night will last everlasting through the time come go with me have no fears two hearts in one eternal through the nightcome go with me make you feel alive this night will last everlasting through the time come go with me have no fears two hearts in one eternal through the night 
63,cant we try,dan hill featuring vonda shepard,1987, i see your face cloud over like a little girls and your eyes have lost their shine you whisper something softly im not meant to hear baby tell me whats on your mindi dont care what people say about the two of us from different worlds i love you so much that it hurts inside are you listening please listen to me girlcant we try just a little bit harder cant we give just a little bit more cant we try to understand that its love were fighting forcant we try just a little more passion cant we try just a little less pride i love you so much baby that it tears me up insidei hear you on the telephone with god knows who spilling out your heart for free everyone needs someone they can talk to girl that someone should be meso many times ive tried to tell you you just turn away how did i knowmy life is changing so fast now leaves me lonely and afraid dont be afraid nocant we try just a little bit harder cant we give just a little bit more cant we try to understand that its love were fighting foroh cant we try just a little more passion cant we try just a little less pride i love you so much baby that it tears me up insidedont let our love fade away dont let our love fade away no matter what people say no matter no matter what they sayi need you more and more each day oh dont let our love fade away no matter what people say no matter no matter what they sayoh cant we try just a little bit harder cant we give just a little bit more cant we try just a little bit harder cant we give just a little bit morecant we try just a little more passion cant we try just a little less pride love you so much baby it tears me up inside ohcant we give a little bit a little bit just a little bit harder cant we give oh oh ohcant we try cant we give a little bit more cant we try baby cant we give oh oh cant we try just a little bit harder cant we give just a little bit more 
64,to be a lover,billy idol,1987, have i told you lately that i love you if i didnt darlin you see im so sorry didnt i reach out and hold you in these lovin arms well if i didnt oh baby well im so sorrywhen i realized that you need love too gonna spend my life makin love to you got to be a lover have mercy forgot to be a lover babe forgot to be a lover forgot to be a lover make it on through to you somehow got to be a lover babe forgot to be a loverwell did i ask you yes would you come and share oh share oh the burden and the task thats at loves command didnt i say all those lovin special things that you long to hear to show how much i carewell when i realize that you need love too gonna spend my life makin love to you forgot to be a lover have mercywell well i worked all day hard as i can worked all night didnt make me a man forgot to be a lover have mercywhen i realized that you need love too gonna spend my life makin love to you forgot to be a lover got to be a lover babe mercy have mercy baby im gonna make it on through to you somehow so have mercyhave i told you yes lately that i love you if i didnt oh baby yes im so sorry ah but you know i really love you baby i really love you baby i really need you baby i really want you babywhen i realized that you need love too im gonna spend my life makin love makin love makin love to you well i worked all day as hard as i can worked all night it didnt make me a man babe forgot to be a lover have mercy baby have mercy baby have mercy baby make it throughwell when i realized that you need love too im gonna spend my life gotta spend my life makin love to you forgot to be a lover forgot to be a lover have mercy have mercy have mercy baby have mercy baby forgot to be a lover have mercy have mercy have mercy baby 
65,mandolin rain,bruce hornsby and the range,1987, the song came and went like the times that we spent hiding out from the rain under the carnival tent i laughed and shed smile it would last for awhile you dont know what you got till you lose it all againlisten to the mandolin rain listen to the music on the lake listen to my heart break every time she runs away listen to the banjo wind sad song drifting low listen to the tears roll down my face as she turns to goa cool evening dance listening to the bluegrass band takes the chill from the air till they play the last song ill do my time oh keeping you off my mind but theres moments that i find im not feeling so stronglisten to the mandolin rain listen to the music on the lake listen to my heart break every time she runs away listen to the banjo wind sad song drifting low listen to the tears roll down my face as she turns to gorunning down by the lake shore she did love the sound of a summer storm it played on the lake like a mandolin now its washing her away once again againwhoa oh oh yeah listen to do do dothe boats steaming in i watch the side wheel spin and i think about her when i hear that whistle blow i cant change my mind oh i knew all the time that shed go but thats a choice i made long agolisten to the mandolin rain listen to the music on the lake listen to my heart break every time she runs away listen to the banjo wind sad song drifting low listen to the tears roll down my face as she turns to go as she turns to golisten to the listen to the mandolin rain listen to the tears roll down my face as she turns to go listen to the tears roll down my face as she turns to go listen to the mandolin rain 
66,breakout,swing out sister,1987, breakoutdont start to ask and now youve found a way to make it last youve got to find a way say what you want to say breakoutdont start to ask and now youve found a way to make it last youve got to find a way say what you want to say breakoutwhen explanations make no sense youre fighting with less confidence the time has come to make or break breakoutdont start to ask and now youve found a way to make it last youve got to find a way say what you want to say breakoutthe situations never change tomorrow looks unsure dont leave your destinated trains what are you waiting for the time has come to make or break breakoutdont start to ask and now youve found a way to make it last youve got to find a way say what you want to say breakoutdont start to ask and now youve found a way to make it last youve got to find a way say what you want to say breakoutsome people stop at nothing if youre searching for somethinglay down the law shout out for more breakout and shout day in day out breakoutdont start to ask and now youve found a way to make it last youve got to find a way say what you want to say and breakoutlay down the law shout out for more breakout and shout day in day out breakout and breakout and breakoutlay down the law shout out for more breakout and shout day in day out youve got to find a way breakout and breakout and breakout 
67,stand by me,ben e king,1987, when the night has come and the land is dark and the moon is the only light well see no i wont be afraid no i wont be afraid just as long as you stand stand by meso darlin darlin stand by me oh stand by me oh stand by me stand by meif the sky that we look upon should tumble and fall or the mountains should crumble to the sea i wont cry i wont cry no i wont shed a tear just as long as you stand stand by meand darlin darlin stand by me oh stand by me oh stand now by me stand by me stand by mee yeahand darlin darlin stand by me oh stand by me oh stand now by me stand by me stand by mee yeahwhenever youre in trouble wont you stand by me oh now now stand by me oh stand by me stand by me oh stand by me stand by me 
68,tonight tonight tonight,genesis,1987, im coming down coming down like a monkey but its alright like a load on your back that you cant see but its alright try to shake it loose cut it free just let it go get it away from mecos tonight tonight tonight oh im gonna make it right tonight tonight tonight ohim going down going down like a monkey but its alright try to pick yourself up carry that weight that you cant see dont you know its alright its like a helter skelter going down and down round and round but just get it away from me ohbecause tonight tonight tonight oh were gonna make it right tonight tonight tonight ohi got some money in my pocket about ready to burn i dont remember where i got it i gotta get it to you so please answer the phone cos i keep calling but youre never home what am i gonna dotonight tonight tonight oh im gonna make it right tonight tonight tonight ohyou keep telling me ive got everything you say ive got everything i want you keep telling me youre gonna help me youre gonna help me but you dontbut now im in too deep you see its got me so that i just cant sleep oh get me out of here please get me out of here just help me ill do anything anything if youll just help me get out of hereim coming down coming down like a monkey but its alright its like a load on your back that you cant see dont you know that its alright just try to shake it loose cut it free let it go but just get it away from mecos tonight tonight tonight oh maybe well make it right tonight tonight tonight ohplease get me out of here someone get me out of here just help me ill do anything anything if youll just help get me out of heretonight oh im gonna make it right tonight tonight tonight oh yes tonight tonight tonight oh yes im gonna make it right tonight tonight tonight oh 
69,someday,glass tiger,1987, ohhhhhwhen i come homeyou telephoneand say your waiting for mei ask you why i hear you crycause your still waiting for me 
70,when smokey sings,abc,1987, debonair lullabies in melodies revealed in deep despair on lonely nights he knows just how you feel the slyest rhymes the sharpest suits in miracles made reallike a bird in flight on a hot sweet night you know youre right just to hold her tight he soothes it right makes it outtasite and every things good in the world tonightwhen smokey sings i hear violins when smokey sings i forget everything yeah as shes packing her things as shes spreading her wings the front door might slam but the back door it rings and smokey sings yeah he singselegance in eloquence for sale or rent or hire should i say yes i match his best then i would be a liar symphonies that soothe the rage when lovers hearts catch firelike a bird in flight on a hot sweet night you know youre right just to hold her tight he soothes it right makes it outtasite and every things good in the world tonightwhen smokey sings i hear violins yeah when smokey sings i forget everything yeah as shes packing her things as shes spreading her wings smashing the hell with the heaven she brings then smokey sings well he sings who you been true to sayluther croons slys the original originator james screams marvin was the only innovator but nothing can compare nothing can compare when smokey singswhen smokey sings i hear violins yeah when smokey sings i forget everything yeah as shes packing her things as shes spreading her wings she threw back the ring when smokey sings smokey sings smokey sings 
71,casanova,levert,1987,i aint much on casanova me and romeo aint never been friends cant you see how much i really love you gonna sing it to you time and time again oh casanova casanova oh casanova casanova every man deserves a good woman and i want you to be my wife time is so much better spent with you baby with a woman just like you in my life so let me love you fill you up inside i want to hold you baby so let me squeeze you dont you know that ill get down on my knees for you baby you see i aint much on casanova me and romeo aint never been friends cant you see how much i really love you gonna sing it to you time and time again oh casanova casanova oh casanova casanova every time i want to see you i cant find the words to tell you so but i love i love i love i love i love you baby and i just got to let you know how much i need you show you what you mean to me each day baby so let me hold you keep you safe and warm ill be your sweetheart baby baby baby baby and when i told you girl im an average guy you seem to know just how i really feel cause i cannot let go i need and want you to stay right here with me but baby i never knew love until you came along oh casanova tell me what to say casanova i cant let you get away oh casanova tell me what to do i aint no casanova i just wanna be with you listen baby i wanna hold i wanna squeeze you too i wanna make sweet love to you i wanna be there when you feeling low never let you go no casanova just a man thing and i want to love you love you love you love you baby oh casanova i aint much on casanova me and romeo aint never been friends cant you see how much i really love you im gonna sing it to you time and time again i love you ill get down on my knees for you baby no i aint no i aint no casanova no casanova im just a man baby casanova cant you understand casanova ill get down on my knees for you baby i wanna hold i wanna squeeze you too i wanna make sweet love to you i wanna be there when youre feeling low got to let you know no casanova i aint no romeo casanova im just a man baby i wanna be a part of your life i want you to be my wife i want you there in the day and night make it right i aint no casanova i just wanna be your lover baby casanova casanova casanova
72,rhythm is gonna get you,gloria estefan and miami sound machine,1987, o eh o eh o eh o eh o eh oo aah o eh oo aah o eh o eh o eh o eh yah ya goh o eh oo aah o eh oo aah yah ya gohat night when you turn off all the lights theres no place that you can hide no no the rhythm is gonna get youin bed throw the covers on your head you pretend like you are dead but i know it the rhythm is gonna get yourhythm is gonna get you rhythm is gonna get you rhythm is gonna get you the rhythm is gonna get you tonightno way you can fight it every day no matter what you say you know it the rhythm is gonna get youno clue of whats happening to you and before this night is through ooh baby the rhythm is gonna get yourhythm is gonna get you rhythm is gonna get you rhythm is gonna get you the rhythm is gonna get you tonighto eh o eh o eh o eh o eh oo aah o eh oo aah o eh o eh o eh o eh o eh oo aah o eh oo aah o eh o eh yah yeh goh yah yeh goh yah yeh gohrhythm is gonna get you rhythm is gonna get you rhythm is gonna get you the rhythm is gonna get yourhythm is gonna get you rhythm is gonna get youna na na na na na na na na na na na na na na rhythm is gonna get you na na na na na na na na na na na na na na nao eh o eh rhythm is gonna get you na na na na na na na na o eh oo aah rhythm is gonna get you na na na na na na nao eh o eh o eh o eh na na na na na na na na o eh oo aah o eh oo aah na na na na na na nao eh o eh o eh o eh na na na na na na na na o eh oo aah o eh oo aah na na na na na na nao eh o eh the rhythm is gonna get you tonight 
73,rock steady,the whispers,1987, i looked at you you stole my heart you were all that i anticipated i wanted you every part but i knew love would be complicatedi began to touch but you wouldnt let it it never seemed to be the right time i started to give up down to the limit and then you changed your mind ohand we begin to rock steady steady rockin all night long and we begin to rock steady rockin till the break of dawn rock steady steady rockin all night long rock steady rockin till the break of dawnyou looked at me to my surprise you were through anticipating i should have known it was in your eyes that you were gettin tired of waitingyou wanted me so much but i didnt get it how could a fellow be so blind i started to give up but love wouldnt let it then you walked into my lifeand we begin to rock steady steady rockin all night long and we begin to rock steady rockin till the break of dawn rock steady steady rockin all night long rock steady rockin till the break of dawnrock steady baby rock steady baby ooh rock rock steady baby rock steady baby rock ooh rock rockyou wanted me so much i didnt get it how could a fellow be so blind i started to give up but love wouldnt let it and you walked into my life ohand we begin to rock steady steady rockin all night long and we begin to rock steady rockin till the break of dawn rock steady steady rockin all night long rock steady rockin till the break of dawnrock steady steady rockin all night long rock steady rockin till the break of dawn everybody start rockin 
74,wanted dead or alive,bon jovi,1987, its all the same only the names will change everyday it seems were wastin away another place where the faces are so cold i drive all night just to get back homeim a cowboy on a steel horse i ride im wanted dead or alive wanted dead or alivesometimes i sleep sometimes its not for days the people i meet always go their separate ways sometimes you tell the day by the bottle that you drink and times when youre all alone all you do is thinkim a cowboy on a steel horse i ride im wanted wanted dead or alive wanted wanted dead or aliveoh and i rideyeahoh and im a cowboy on a steel horse i ride im wanted dead or alivei walk these streets a loaded sixstring on my back i play for keeps cause i might not make it back i been everywhere still im standing tall ive seen a million faces and ive rocked them allim a cowboy on a steel horse i ride im wanted wanted dead or alive im a cowboy i got the night on my side im wanted wanted dead or alive and i ride dead or alive i still drive i still drive dead or alive dead or alive dead or alive dead or alive dead or alive 
75,big time,peter gabriel,1987, im on my way im making it ive got to make it show yeah so much larger than life im going to watch it growingthe place where i come from is a small town they think so small they use small words but not me im smarter than that i worked it out ive been stretching my mouth to let those big words come right outive had enough im getting out to the city the big big city ill be a big noise with all the big boys theres so much stuff i will own and i will pray to a big god as i kneel in the big churchbig time im on my wayim making it big time big time ive got to make it show yeah big time big time so much larger than life big time im going to watch it growing big timemy parties all have big names and i greet them with the widest smile tell them how my life is one big adventure and always theyre amazed when i show them round my house to my bed i had it made like a mountain range with a snowwhite pillow for my big fat head and my heaven will be a big heaven and i will walk through the front doorbig time im on my wayim making it big time big time ive got to make it showyeah big time big time so much larger than life im going to watch it growing big time big time my car is getting bigger big time my house is getting bigger big time my eyes are getting bigger big time and my mouth big time my belly is getting bigger big time and my bank account big time look at my circumstance big time and the bulge in my big big big big big big big 
76,the finer things,steve winwood,1987, while there is time lets go out and feel everything if you hold me i will let you into my dreams for time is a river rolling into nowhere we must live while we can and well drink our cup of laughterthe finer things keep shining through the way my soul gets lost in you the finer things i feel in me the golden dance life could beive been sad and have walked bitter streets alone and come morning theres a good wind to blow me home so time be a river rolling into nowhere i will live while i can i will have my ever afterthe finer things keep shining through the way my soul gets lost in you the finer things i feel in me the golden dance life could bewe go so fast why dont we make it last life is glowing inside you and me please take my hand right here where i stand wont you come out and dance with me oh come seeand lovers try til they get the best of the night and come morning they are tangled up in the light so time be a river rolling into nowhere and they love while they can and they think about the night so sweetthe finer things keep shining through the way my soul gets lost in you the finer things i feel in me the golden dance life could bethe finer things keep shining through the way my soul gets lost in you the finer things i feel in me the golden dance life could be 
77,let me be the one,expose,1987, sometimes people play with love falling in love is just a game dont think i dont know love youll never be alone againlet me show you how i feel be the one that i need so muchlet me give you what is real be the one that i long to touchonly you can make me feel this way ill give you all come on lets get away this love i feel will never ever fade ill give you more and more solet me be the one hold onto the dream let me be the one you can trust me at any timelet me be the one give you all the love let me be the one to feel your tender touchfirst time that i saw you there thought i knew you from before promise me you will never leave cause i will never let you golet me hold you close to me be the one because our love is stronglet me feel the need in me be the one together we belongonly you can make me feel brand new i can feel it in my heart your love is true together we are one instead of two i want you more and more solet me be the one to hold onto the dream let me be the one you can trust me at any timelet me be the one i want to give you all the love let me be the one and be the oneonly you can make me feel this way ill give you all come on lets get away this love i feel will never ever fade ill give you more and more solet me be the one hold onto the dream let me be the one you can trust me at any timelet me be the one i want to give you all the love let me be the one and be the onelet me be the one to hold onto the dream let me be the one you can trust me at any timelet me be the one i want to give you all the love let me be the one and be the onelet me be the one to hold onto the dream 
78,is this love,survivor,1987, ive heard talk of blind devotion lovers through thick and thin lives touched with real emotion faithful til the bitter endnow i must admit that the storys attractive ive lost in far too many affairs ive seen all the pain that the morning can bring i need to prove to myself this is more than a crush can you convince me its not just the physical rushis this love that im feelin is this love thats been keepin me up all night is this love that im feelin is this loveso many nights in blind confusion ive walked the line of love we reach out in disillusion when one night isnt nearly enoughnow id like to know that for once in my life im sure of what tomorrow may bring ive heard all your talk can i take it to heart now look me straight in the eye cause tonight is the night weve got to ask each other if the moment is rightis this love that im feelin is this love thats been keepin me up all night is this love that im feelin is this loveive tread those mean streets blind alleys where the currency of love changes hands all touch no feeling just another one night stand i need to know that theres someone who cares could you be the angel to answer my prayersis this love that im feelin is this love thats been keepin me up all night is this love that im feelin is this loveis this love that im feelin is this love thats been keepin me up all night is this love that im feelin is this love is this love 
79,diamonds,herb alpert,1987,you told me you love me you told me you care but when im around you its like im not there i need a reminder something i can see something on my finger shines so brightly dont you know diamonds are a girls best friend when you go they stay with me until the end dont you know diamonds are a girls best best friend when you go they stay with me until the end dont want your money dont want your key diamonds love dont come for free dont want your money dont want your key diamonds love dont come for free they say you need some roses but roses do die you gave me some candy it melted nice try im not that demanding i have simple taste i just want a token that cant go to waste diamonds dont want your money dont want your key dont you know diamonds are a girls best friend dont want your money dont want your key dont want your money dont want your key diamonds love dont come for free
80,point of no return,expose,1987, the common road seems just like a dream its a mystery to me fills me within when were together oh baby cant you seei id like to feel the passion to the point of no return i will be in full reaction im gonna take you in my armsyoure taking me to the point of no return youre taking me to the point of no returnit took so long well i treasure now the love you gave to me and when you smile it warms my heart in need oh baby cant you seei id like to feel the passion to the point of no return oh baby i will be in full reaction im gonna take you in my armsyoure taking me to the point of no return youre taking me to the point of no returni wanna be with you baby im gonna be by your side i wanna be with you baby im gonna love you every nightyoure taking me to the point of no return youre taking me to the point of no returnyoure taking me to the point of no return youre taking me to the point of no returnyoure taking me to the point of no return 
81,big love,fleetwood mac,1987, looking out for love in the night so still oh ill build you a kingdom in that house on the hill looking out for love big big loveyou said that you love me and that you always will oh you begged me to keep you in that house on the hill looking out for love big big lovei wake up alone with it all i wake up but only to falllooking out for love big big love just looking out for love big big love 
82,midnight blue,lou gramm,1987, aint got no regrets i aint losin track of which way im going i aint gonna double back dont want no misplay put on no display an angel no but i know my way oh yeah ohi used to follow yeah thats true but my following days are over now i just gotta follow through and i remember what my father said he said son life is simple its either cherry red ormidnight blue oh midnight blue ohyou were the restless one and you did not care that i was the trouble boy lookin for a double dare i wont apologize for the things ive done and said but when i win your heart im gonna paint it cherry redi dont want to talk about it what you do to me i cant live without it and you might think that its much too soon for us to go this far into themidnight blue oh its midnight blue ohnow things could be different thatd be a shame cause im the one who can feel the sun right in the pouring rain i wont say where and i dont know when but soon theres gonna come a day baby ill be back again yeah ill be back for you you see im savin up my lovemidnight blue oh into the midnight blue oh into the midnight blue oh cant leave this midnight blue oh into the midnight blue oh midnight blue oh midnight blue oh 
83,something so strong,crowded house,1987, love can make you weep can make you run for cover roots that spread so deep bring life to frozen groundsomething so strong could carry us away something so strong could carry us todayturning in my sleep love can leave you cold the taste of jealousy is like a lust for goldsomething so strong could carry us away something so strong could carry us todayive been feeling so much older frame me and hang me on the wall ive seen you fall into the same trap this thing is happening to us all yeahsomething so strong could carry us away something so strong could carry us today yeahsomething so strong something so strong something so strong something so so strong 
84,heat of the night,bryan adams,1987, NA 
85,nothings gonna change my love for you,glenn medeiros,1987, if i had to live my life without you near me the days would all be empty the nights would seem so long with you i see forever oh so clearly i might have been in love before but it never felt this strong our dreams are young and we both know theyll take us where we want to go hold me now touch me now i dont want to live without younothings gonna change my love for you you ought to know by now how much i love you one thing you can be sure of ill never ask for more than your lovenothings gonna change my love for you you ought to know by now how much i love you the world may change my whole life through but nothings gonna change my love for youif the road ahead is not so easy our love will lead the way for us like a guiding star ill be there for you if you should need me you dont have to change a thing i love you just the way you are so come with me and share the view ill help you see forever too hold me now touch me now i dont want to live without younothings gonna change my love for you you ought to know by now how much i love you one thing you can be sure of ill never ask for more than your lovenothings gonna change my love for you you ought to know by now how much i love you the world may change my whole life through but nothings gonna change my love for younothings gonna change my love for you you ought to know by now how much i love you one thing you can be sure of ill never ask for more than your love my lovenothings gonna change my love for you you ought to know by now how much i love you one thing you can be sure of ill never ask for more than your lovenothings gonna change my love for you you ought to know by now how much i love you the world may change my whole life through but nothings gonna change my love for younothings gonna change my love for you you ought to know by now how much i love you one thing you can be sure of sure of ill never ask for more than your love my love 
86,brilliant disguise,bruce springsteen,1987, i hold you in my arms as the band plays what are those words whispered baby just as you turn away i saw you last night out on the edge of town i wanna read your mind to know just what ive got in this new thing ive found so tell me what i see when i look in your eyes is that you baby or just a brilliant disguisei heard somebody call your name from underneath our willow i saw something tucked in shame underneath your pillow well ive tried so hard baby but i just cant see what a woman like you is doing with me so tell me who i see when i look in your eyes is that you baby or just a brilliant disguisenow look at me baby struggling to do everything right and then it all falls apart when out go the lights im just a lonely pilgrim i walk this world in wealth i want to know if its you i dont trust cause i damn sure dont trust myselfnow you play the loving woman ill play the faithful man but just dont look too close into the palm of my hand we stood at the alter the gypsy swore our future was right but come the wee wee hours well maybe baby the gypsy lied so when you look at me you better look hard and look twice is that me baby or just a brilliant disguise 
87,just to see her,smokey robinson,1987, just to see her just to touch her just to hold her in my arms again one more time if i could feel her warm embrace see her smiling face cant find anyone to take her place ive got to see her againi would do anything i would go anywhere theres nothing i wouldnt do just to see her againi cant hide it i cant fight it its so hard to live without the love she gave to me doesnt she know it i tried hard not to show it cant i make her realize that she really needs me againi would do anything i would go anywhere theres nothing i wouldnt do just to see her again she brightened up my everyday made me feel so good in every way if i could have her back to stay ive got to see her again 
88,who will you run to,heart,1987, youre not sure what you want to do with your life but you sure dont want me in it yeah youre sure the life youre living with me cant go on one single minute and theres a new one waiting outside this door and nows its time to begin ityou found a new world and you want to taste it but that world can turn cold and you better face itwho will you run to when it all falls down whos gonna pick your world up off from the ground whos gonna take away the tears you cry whos gonna love you baby as good as iyou dont know what its like to live on your own youve always had me there beside you you think its easy finding someone out there whos gonna care as much as i do whats gonna happen baby when you find out theres no one there to cry toyou can tell the whole world how youre gonna make it you can follow your heart what you do when someone breaks itwho will you run to when it all falls down whos gonna pick your world up off from the ground whos gonna take away the tears you cry whos gonna love you baby as good as iyou found a new world and you want to taste it but that world can turn cold and you better face itwho will you run to when it all falls down whos gonna pick your world up off from the ground whos gonna take away the tears you cry whos gonna love you baby as good as iwho will you run to when it all falls down whos gonna pick your world up off from the ground whos gonna take away the tears you cry whos gonna love you baby as good as i 
89,respect yourself,bruce willis,1987,if you disrespect everybody that you run into how in the world do you think anybody sposed to respect you if you dont give a heck about the man with a bible in his hand just get out the way and let the gentleman do his thing youre the kind of gentleman that wants everything their way take the sheet off yur face boy its a brand new day respect yourself respect yourself if you dont respect yourself aint nobody gonna give a good cahoot na na na oh oh respect yourself if youre walking around thinking that the world owes you something cause youre here youre going out the world backward like you did when you first came here keep talking about the president wont stop air pollution put your hand over your mouth when you cough thatll help the solution you cuss around women folk you dont even know their name then youre dumb enough to think that it makes you a big ol man respect yourself respect yourself if you dont respect yourself aint nobody gonna give a good cahoot na na na oh oh respect yourself
90,cross my broken heart,the jets,1987, cross my broken heart boy cross my broken heart for you im going to stay this timecross my broken heart boy swear ill never part from you i want you to be minei know you think im not your picture perfect jewel and let us break apart when everything was cooli needed to explore and open up the door but now i need you moreim sending out a message a message so sincere when i close my eyes i need to feel you nearcant get you off my mind for leaving me this time im still in love with youcross my broken heart boy cross my broken heart for you im going to stay this timecross my broken heart boy swear ill never part from you i want you to be mineif i had your attention id tell you what i learned despite of good intentions its easy to get burnedi learned my lesson well its you i need to tell this time im all for youi need for you to trust me to give you all my best ill prove just what your love means just put me to the testthis time i need to stay dont need to go away im still in love with youcross my broken heart boy cross my broken heart for you im going to stay this timecross my broken heart boy swear ill never part from you i want you to be mineyoure my morning sun youre my shining star youre my number one cross my broken heartin your eyes i see what you mean to me youre my destinyim sending out a message a message so sincere when i close my eyes i need to feel you nearcant get you off my mind for leaving me this time im still in love with youyoure my morning sun youre my shining star youre my number one cross my broken heartin your eyes i see what you mean to me youre my destinycross my broken heart boy cross my broken heart for you im going to stay this timecross my broken heart boy swear ill never part from you i want you to be minecross my broken heart boy cross my broken heart for you im going to stay this timecross my broken heart boy swear ill never part from you i want you to be minecross my broken heart boy cross my broken heart for you im going to stay this timecross my broken heart boy swear ill never part from you i want you to be mine 
91,victory,kool  the gang,1987,people get ready its time to show what you got players take your places its only one way to the top you must feel the victory release that energy and ride like the wind with fire in your eyes shake those butterflies and do the best you can victory victory let the party begin victory victory lets do it again you are the best you seem to stand out from the rest your intentions to be more than a honorable mention you must feel that victory release that energy and ride like the wind fire in your eyes shake those butterflies and go ahead and go for the win now victory victory let the party begin victory victory everybody can win cause its the same way in life same way in life inside the tunnel see the light see the light the perfect balance you must find its the same way in life victory victory victory victory sweet victory sweet victory sweet can you feel it victory sweet so sweet so sweet theres only one way to the top if you really want it you can never stop pushing for the victory go ahead players take your places go ahead feel that victory release that energy so sweet to the top go ahead go ahead players take your places to the top victory
92,dont get me wrong,the pretenders,1987, dont get me wrong if im looking kind of dazzled i see neon lights whenever you walk bydont get me wrong if you say hello and i take a ride upon a sea where the mystic moon is playing havoc with the tide dont get me wrongdont get me wrong if im acting so distracted im thinking about the fireworks that go off when you smiledont get me wrong if i split like light refracted im only off to wander across a moonlit mileonce in awhile two people meet seemingly for no reason they just pass on the street suddenly thunder showers everywhere who can explain the thunder and rain but theres something in the airdont get me wrong if i come and go like fashion i might be great tomorrow but hopeless yesterdaydont get me wrong if i fall in the mode of passion it might be unbelievable but lets not say so long it might just be fantastic dont get me wrong 
93,doing it all for my baby,huey lewis and the news,1987,early in the morning im still in bed she comes to me with sweet affection wakes me with kisses hello sleepyhead gets me moving in the right direction i do my best to give her love that lasts forever it seems like everythiung i do im doing better doing it all for my baby because shes as fine as she can be doing it all for my baby for everything she does for me later in the evening its been a busy day she lays her head upon my weary shoulder listen to her laughing snuggle up and say now im with you baby the loneliness is over i do my best to give her love that lasts forever it seems like everything i do im doing better doing it all for my baby because shes as fine as she can be doing it all for my baby for everything she does for me
94,right on track,breakfast club,1987, gonna make a move that knocks you over watch this turn ones gonna put you away but im doing my very best dancing every time youre looking the other wayi could move out to the left for a while i could slide to the right for a while i could get up and back right on track but is right on track is that gonna get you backive been trying to get your attention and im very very close to thinking of a way i could be big and tough and other funny stuff but you just keep looking the other wayi could move out to the left for a while i could slide to the right for a while i could get up and back right on track but is right on track is that gonna get you backhow far away can you go and still be dancing with me would you mind staying in the vicinity ive not been faring badly but i would gladly take you backthere must be some kind of bad connection cause this music does not sound the way it did i got to get up and back cause ive been off track and that may be just why you disappeared but now ive got you in the corner of my eyeand ive got one more move i can try and ive got one more move i can try 
95,ballerina girl,lionel richie,1987, ballerina girl you are so lovely with you standing there im so aware of how much i care for youyou are more than now you are for always i can see in you my dreams come true dont you ever go awayyou make me feel like theres nothing i cant do and when i hold you i only want to say i love youballerina girl the joy you bring me every day and night holding you tight how ive waited for your lovesometimes ive wondered if youd ever come my way now that ive finally found you this is where my heart will stayim never gonna break your heart never will we drift apart cause all i want to do is share my whole life with youcause you make me feel like theres nothing i cant do i guess i finally realized theres nothing else like loving youballerina girl you are so lovely i can see in you my dreams come true dont you ever go away ballerina girl 
96,meet me half way,kenny loggins,1987, in a lifetime made of memories i believe in destiny every moment returns again in time when ive got the future on my mind know that youll be the only onemeet me halfway across the sky out where the world belongs to only you and i meet me halfway across the sky make this a new beginning of another lifein a lifetime there is only love reachin for the lonely one we are stronger when we are given love when we put emotions on the line know that we are the timeless onesmeet me halfway across the sky out where the world belongs to only you and i meet me halfway across the sky make this a new beginning of another life 
97,ive been in love before,cutting crew,1987, catch my breath close my eyes dont believe a word things she said overheard something wrong insideits you and admit it then you know youre in itive ive been in love before ive been in love before the hardest part is when youre in it ive been in love before ive been in love beforejust one touch just one look a dangerous dance one small word can make me feel like running awayyou cant say youre in it no until you reach the limitive been in love before ive been in love before the hardest part is when youre in it ive been in love before ive been in love beforeive been in love before ive been in love before the hardest part is when youre in it ive been in love before ive been in love beforeive been in love the hardest part is when youre in it ive been in love ive been in love before 
98,you gotta fight for your right to party,beastie boys,1987, kick ityou wake up late for school man you dont want to go you ask you mom please but she still says no you missed two classes and no homework but your teacher preaches class like youre some kind of jerkyou gotta fight for your right to partyyour pop caught you smoking and he said no way that hypocrite smokes two packs a day man living at home is such a drag now your mom threw away your best porno mag bust ityou gotta fight for your right to party you gotta fightdont step out of this house if thats the clothes youre gonna wear ill kick you out of my home is you dont cut that hair your mom busted in and said whats that noise aw mom youre just jealous its the beastie boysyou gotta fight for your right to party you gotta fight for your right to partyparty party 
